Domaine;Catégorie;Sous cat;Poste;sous poste;;;Sous poste nouveau;Poste nouveau
Achats et matières premières;Matières de base;Papier;Autres papiers;Consommation totale;;;Papiers cartons;Intrants biens et matières
Achats et matières premières;Services;Prestations de services;Administration publique;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Prestations de services;Enseignement et formation;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Prestations de services;Services techniques;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Prestations de services;Courrier;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Prestations de services;Activité pour la santé humaine;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Prestations de services;Activité sportives et culturelles;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Produits agricoles et alimentation;Produits agricoles (production);Produits végétaux;Fleurs;;;Autres intrants;Intrants biens et matières
Achats et matières premières;Services;Prestations de services;Audiovisuel;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Services informatiques;Tous types;Total utilisation;;;Services en approche monétaire;Intrants services
Achats et matières premières;Produits agricoles et alimentation;Produits agricoles (production);Produits végétaux;Fruits;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits agricoles (production);Produits végétaux;Fruits;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits agricoles (production);Produits végétaux;Fruits;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Matières de base;Produits chimiques;Autres produits chimiques;Consommation totale;;;Produits chimiques;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits agricoles (production);Produits végétaux;Noix;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits agricoles (production);Produits végétaux;Légumes;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits agricoles (production);Produits végétaux;Céréales;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits agricoles (production);Produits végétaux;Autres;;;Autres intrants;Intrants biens et matières
Achats et matières premières;Matières de base;Bois;Ameublement;Consommation totale;;;Matériaux de construction;Intrants biens et matières
Achats et matières premières;Matières de base;Bois;Bois d'oeuvre (construction);Consommation totale;;;Matériaux de construction;Intrants biens et matières
Achats et matières premières;Matières de base;Métaux;Métaux ferreux;Consommation totale;;;Métaux, plastiques et verre;Intrants biens et matières
Achats et matières premières;Matières de base;Plastiques;Toutes catégories;Consommation totale;;;Métaux, plastiques et verre;Intrants biens et matières
Achats et matières premières;Matières de base;Plastiques;Emballages;Consommation totale;;;Métaux, plastiques et verre;Intrants biens et matières
Achats et matières premières;Matières de base;Plastiques;Autres usages;Consommation totale;;;Métaux, plastiques et verre;Intrants biens et matières
Achats et matières premières;Matières de base;Plastiques;Tous types;Consommation totale;;;Métaux, plastiques et verre;Intrants biens et matières
Achats et matières premières;Matières de base;Verre;Toutes catégories;Consommation totale;;;Métaux, plastiques et verre;Intrants biens et matières
Achats et matières premières;Matières de base;Papier;Papier bureautique;Consommation totale;;;Papiers cartons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Huiles;Consommation totale;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Boissons;Consommation totale;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Noix;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Viandes;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Biscuits patisseries produits sucrés;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Pains;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Poissons et produits de la mer;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Fruits;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Légumes;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Fromages et produits laitiers;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Préparations diverses;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Aliments transformés et plats préparés;Céréales;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Produits végétaux et préparations;Légumes;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Produits végétaux et préparations;Fruits;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Produits végétaux et préparations;Céréales;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Produits végétaux et préparations;Autres;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Produits végétaux et préparations;Consommation totale;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Produits végétaux et préparations;Noix;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Produits animaux et préparations;Viandes;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Produits animaux et préparations;Poissons et produits de la mer;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Produits agricoles et alimentation;Produits alimentaires (consommation);Repas;Consommation totale;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Matières de base;Carton;Carton emballage;Consommation totale;;;Matière destinée aux emballages;Intrants biens et matières
Achats et matières premières;Matières de base;Carton;Carton emballage;Montant HT dépensé;;;Matière destinée aux emballages;Intrants biens et matières
Achats et matières premières;Matières de base;Carton;Autres cartons;Consommation totale;;;Papiers cartons;Intrants biens et matières
Achats et matières premières;Matières de base;Produits chimiques;Acides;Consommation totale;;;Produits chimiques;Intrants biens et matières
Achats et matières premières;Matières de base;Produits chimiques;Engrais et phytosanitaires;Consommation totale;;;Produits chimiques;Intrants biens et matières
Achats et matières premières;Matières de base;Métaux;Métaux non ferreux;Consommation totale;;;Métaux, plastiques et verre;Intrants biens et matières
Achats et matières premières;Matières de base;Matériaux de construction;Bâtiments;Consommation totale;;;Matériaux de construction;Intrants biens et matières
Achats et matières premières;Matières de base;Matériaux de construction;Routier;Consommation totale;;;Matériaux de construction;Intrants biens et matières
Achats et matières premières;Produits et matériels divers;Informatique et électronique;Tous équipements;Total achats;;;Autres intrants;Intrants biens et matières
Achats et matières premières;Produits et matériels divers;Electroménager;Tous équipements;Total achats;;;Autres intrants;Intrants biens et matières
Achats et matières premières;Produits et matériels divers;Textile habillement;Coton;Total achats;;;Autres intrants;Intrants biens et matières
